dip,dipdir,corstrike,cordip,,,
54,292,196,45,1,285,35.2
45,249,184,32,2,253.1,25.8
41,244,184,32,3,248.6,22.4
46,272,184,32,4,271.1,26
35,274,154,26,5,273.1,15.1
47,277,191,38,6,274.8,27.2
65,254,184,42,7,259.6,45.3
56,275,178,38,8,272.8,36.1
42,274,196,20,9,272.8,22.1
43,256,196,20,10,258.4,23.3
45,257,166,31,11,259.4,25.3
50,251,166,31,12,255.3,30.6
47,293,210,34,13,287.1,28.4
52,305,200,17,14,294.8,34.9
45,301,173,28,15,293.7,27.5
67,256,172,47,16,261.1,47.2
54,283,173,28,17,278.6,34.5
46,268,168,28,18,268,26
46,274,177,29,19,272.6,26.1
40,244,165,16,20,248.4,21.4
25,306,165,16,21,302.4,8.8
38,260,165,16,22,261.3,18.2
41,263,165,16,23,263.9,21.1
44,273,165,16,24,271.9,24.1
39,256,165,16,25,258.1,19.3
38,258,165,16,26,259.7,18.2
39,265,165,16,27,265.5,19
40,259,165,16,28,260.6,20.2
50,266,165,16,29,266.5,30
24,310,165,16,30,306.2,8.7
48,254,165,16,31,257.3,28.4
46,269,165,16,32,268.7,26
48,272,165,16,33,271,28
40,288,165,16,34,284.3,21
42,288,165,16,35,284,23
22,335,165,16,36,329.2,13.2
38,259,165,15,37,260.5,18.2
56,261,176,33,38,263.1,36.1
62,292,174,29,39,283.1,43.1
52,255,174,22,40,258.5,32.4
62,247,176,20,41,254.7,42.8
44,239,178,25,42,245.1,25.9
44,248,178,25,43,252.2,24.9
27,276,160,26,44,275.2,7.2
50,262,160,26,45,263.5,30.1
44,244,195,27,46,249.1,25.3
34,271,196,22,47,270.5,14
25,264,196,22,48,264.3,5
29,293,196,22,49,290.1,10.7
36,249,196,22,50,252,16.9
56,251,161,37,51,256.2,36.6
70,270,176,36,52,269,50
55,266,176,36,53,266.5,35
56,317,190,29,54,301.8,40.8
37,287,188,23,55,283.8,17.9
31,307,188,23,56,301.9,14.9
55,285,188,23,57,279.8,35.6
42,258,196,28,58,260,22.2
55,260,168,34,59,262.3,35.1
65,256,168,34,60,260.8,45.2
39,286,179,27,61,282.8,19.8
39,256,179,27,62,258.1,19.3
46,261,194,28,63,262.5,26.1
27,267,187,22,64,267.1,7
25,272,187,22,65,271.6,5
66,290,219,48,66,280.8,46.9
60,313,218,40,67,297.3,43.9
76,323,218,40,68,291.1,59.8
45,280,181,39,69,277.3,25.3
48,255,181,39,70,258.1,28.4
46,260,157,31,71,261.8,26.1
49,251,157,31,72,255.2,29.6
47,291,157,31,73,285.6,28.2
46,272,200,44,74,271.1,26
53,259,164,32,75,261.5,33.2
33,264,209,27,76,264.5,13
29,242,162,20,77,245,10.7
50,248,162,20,78,253.1,30.9
49,254,162,20,79,257.5,29.4
22,226,162,20,80,229.3,6.6
46,262,162,20,81,263.3,26.1
37,253,201,22,82,255.4,17.5
39,261,201,22,83,262.2,19.1
29,262,201,22,84,262.7,9.1
22,302,201,22,85,299.4,5.1
45,267,189,24,86,267.2,25
54,256,175,21,87,259.4,34.3
54,264,159,35,88,265.1,34
35,251,159,35,89,253.6,15.7
58,263,168,39,90,264.6,38
42,288,168,39,91,284,23
54,247,168,39,92,253.1,34.9
30,249,175,18,93,251.3,10.9
,,,,,,
,,,,,,
,,177.827957,,,,